BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10665A,Salmones Multiexport S.A. Salmon Farms- Apiao Farm,Chile,salmonfarm,Salmon,fallow,
F10666C,Geo Seafoods / Sunnyvale - IOM 1 - Mr. Mantena Ravi Kumar,India,farm,Shrimp,6/29/2015,
F10698C,AMS Cluster 2 - I'm Shrimp Farm 4,Thailand,farm,Shrimp,6/25/2015,
F10701,THEVA ERUDHAYAM AQUA FARM,India,farm,Shrimp,7/2/2015,
F10702A,M/S. Suryamitra Exim Pvt Ltd IOM Group 1 - Alluri Madhu Ravi Rama Raju Farm,India,farm,Shrimp,7/18/2015,
F10714,PT. Merdeka Sarana Usaha,Indonesia,farm,Shrimp,7/30/2015,
F10715A,Ventisqueros - Centro Punta Garcia,Chile,salmonfarm,Salmon,fallow,
F10721A,Invermar S.A. - Traiguen 1,Chile,salmonfarm,Salmon,6/19/2015,
F10730B,Pasupati Aquatics Pvt Ltd IOM - Pasupati Aquatics Pvt. Ltd.,India,farm,Shrimp,8/28/2015,
F10733,Marine Harvest Chile - Alao Sur,Chile,salmonfarm,Salmon,9/3/2015,
F10767,Thai Union Group PCL. - Group 1 - Tradsin Farm,Thailand,farm,Shrimp,10/24/2014,
F10708D,Thai Union Group PCL - Cluster 12 - TSM 3,Thailand,farm,Shrimp,11/12/2015,
F10771,Chen Minqing Farm,China,farm,Tilapia,12/30/2014,
F10776,Ngoc Tri Farm,Viet Nam,farm,Shrimp,9/23/2015,
F10791,Hainan Tunchang Zhongjian Farm Twentieth Group Heqionghui Farming Base,China,farm,Tilapia,12/30/2014,
F10796,SONGA - Lebama Farm,Ecuador,farm,Shrimp,2/6/2015,
F10799C,AMS - Cluster 5 - I Shrimp Farm 4,Thailand,farm,Shrimp,12/1/2014,
F10802A,Australis Mar S.A. - Centro Matilde 1,Chile,salmonfarm,Salmon,fallow,
F10805E,Salmones Caleta Bay S.A. (1) Cluster - Farellones,Chile,salmonfarm,Trout,1/9/2015,
F10809,"Open Blue Sea Farms Panama, S.A.",Panama,farm,Cobia,1/31/2015,
F10042,Zhanjiang Guolian Nansan Farm Base,China,farm,Shrimp,9/20/2015,
F10097B,Okeanos Cluster 1 - TSM 13 Farm,Thailand,farm,Shrimp,6/23/2015,
F10100A,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Srisuban Farm 4,Thailand,farm,Shrimp,10/26/2014,
F10105,Zhuhai Jiayi Aquatic Limit Company,China,farm,"Tilapia, Seabass, Red Drum",8/8/2015,
F10167F,Xian-Ning Seafood - Cluster 2 -XN Farm,Thailand,farm,Shrimp,2/11/2015,
F10247,Guangzhou Luxe Seafood Enterprise Ltd.,China,farm,Tilapia,8/8/2015,
F10249B,Camimex - Cluster 1 - Farm 2,Viet Nam,farm,Shrimp,8/2/2015,
F10254,Jiatan Reservoir Tilapia Cage Farm,China,farm,Tilapia,11/25/2015,
F10263,Best Aquaculture Partners - Andaman,Thailand,farm,Shrimp,6/28/2015,
F10266I,Northern Harvest Sea Farms - Cluster - Limekiln Sea Farm,Canada,salmonfarm,Salmon,fallow,
F10267D,Cermaq Canada Ltd. - Bare Bluff,Canada,salmonfarm,Salmon,fallow,
F10267E,Cermaq Canada Ltd. - McIntryre Lake,Canada,salmonfarm,Salmon,fallow,
F10267H,Cermaq Canada Ltd. - Brent Island,Canada,salmonfarm,Salmon,5/30/2015,
F10267J,Cermaq Canada Ltd. - Millar Channel,Canada,salmonfarm,Salmon,2/4/2015,
F10268K,"Grieg Seafood BC, Ltd. Module 1 - Site 13 - East",Canada,salmonfarm,Salmon,3/31/2015,
F10268O,"Grieg Seafood BC, Ltd. Module 1 - Atrevida Point - West",Canada,salmonfarm,Salmon,12/4/2014,
F10271,"The Second Aquafarm of Zhuhai Fumin Tilapia Aquafarm & Research Co., Ltd.",China,farm,Tilapia,4/2/2015,
F10273G,"Salmones Camanchaca, S.A. - Punta Islotes",Chile,salmonfarm,Salmon,8/24/2015,
F10273L,"Salmones Camanchaca, S.A. - Cabudahue Farm",Chile,salmonfarm,Salmon,fallow,
F10273T,"Salmones Camanchaca, S.A. - Cluster - Johnson 2",Chile,salmonfarm,Salmon,12/4/2014,
F10290AC,Marine Harvest Canada Inc. - Group Program - Chancellor Channel,Canada,salmonfarm,Salmon,12/19/2014,
F10290L,Marine Harvest Canada Inc. - Group Program - Sargeaunt Pass Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290M,Marine Harvest Canada Inc. - Group Program - Shelter Bay,Canada,salmonfarm,Salmon,12/19/2014,
F10290W,Marine Harvest Canada Inc. - Group Program - Duncan Island,Canada,salmonfarm,Salmon,12/19/2014,
F10290X,Marine Harvest Canada Inc. - Group - Lime Point,Canada,salmonfarm,Salmon,fallow,
F10296C,Northern Harvest Sea Farms NL Ltd. - Cluster - Foshie's Cove,Canada,salmonfarm,Salmon,fallow,
F10302C,Cooke Aquaculture Chile S.A. - Cluster - Mentirosa 01,Chile,salmonfarm,Salmon,8/29/2015,
F10302F,Cooke Aquaculture Chile S.A. - Cluster - Ballenas 3 (25A),Chile,salmonfarm,Salmon,11/20/2014,
F10302G,Cooke Aquaculture Chile S.A. - Cluster - Mentas 2 (25A),Chile,salmonfarm,Salmon,11/20/2014,
F10313D,Good Luck - Cluster 4 - Sarut Farm,Thailand,farm,Shrimp,1/7/2015,
F10328D,Salmones Blumar S.A. -263 Vicuna 1,Chile,salmonfarm,Salmon,fallow,
F10328E,Salmones Blumar S.A. - 262 Vicuna 4,Chile,salmonfarm,Salmon,fallow,
F10328K,Salmones Blumar S.A. - 385 SE Forsyth,Chile,salmonfarm,Salmon,1/23/2015,
F10328N,Salmones Blumar S.A. - 272 Punta Cola,Chile,salmonfarm,Salmon,10/9/2015,
F10331I,"The New Zealand King Salmon Co., Ltd. - Cluster - Forsyth Bay",New Zealand,salmonfarm,Salmon,fallow,
F10350D,Asvini IOM Farm Group 1 - *Talluri Venkatasathya Subba Rao,India,farm,Shrimp,6/7/2015,
F10362D,Exportadora Los Fiordos Ltda. - Francisco Sur - Melinka,Chile,salmonfarm,Salmon,fallow,
F10362E,Exportadora Los Fiordos Ltda. - Cluster - Francisco Norte - Melinka,Chile,salmonfarm,Salmon,fallow,
F10373D,Cultivos Yadran S.A. - Cluster - James 711 Farm,Chile,salmonfarm,Salmon,8/3/2015,
F10373K,Cultivos Yadran S.A. - Cluster - Melchor 721 Farm,Chile,salmonfarm,Salmon,8/3/2015,
F10391,Thong Thuan Nui Tao Industry Shrimp Farm,Viet Nam,farm,Shrimp,1/7/2015,
F10410AC,Kelly Cove Salmon Ltd. - Bliss Island,Canada,salmonfarm,Salmon,fallow,
F10410V,Kelly Cove Salmon Ltd. - White Head,Canada,salmonfarm,Salmon,fallow,
F10427,Acuicola Gemso S.A. de C.V.,Mexico,farm,Tilapia,4/21/2015,
F10434,Funing Boai Baie Aqua Farm,China,farm,Tilapia,11/10/2014,
F10469,Dingan Baoshan Reservoir Tilapia Farm,China,farm,Tilapia,12/14/2014,
F10487,Eco-Acuicola S.A.C.,Peru,farm,Shrimp,5/6/2015,
F10493,Paraiso Springs Aquaculture Guatemala v Cia. Ltda. (Farm),Guatemala,farm,Tilapia,4/2/2015,
F10521,Omarsa S.A. - Puna Farm,Ecuador,farm,Shrimp,4/17/2015,
F10532K,Good Luck - Cluster 6 - Kamon Farm,Thailand,farm,Shrimp,6/4/2015,
F10533H,Exportadora Los Fiordos - Cluster - Estero Neito,Chile,salmonfarm,Salmon,12/4/2014,
F10533J,Exportadora Los Fiordos - Cluster - Punta Ganso,Chile,salmonfarm,Salmon,12/4/2014,
F10533O,Exportadora Los Fiordos - Cluster - Graffer,Chile,salmonfarm,Salmon,12/4/2014,
F10533P,Exportadora Los Fiordos - Cluster - Marta,Chile,salmonfarm,Salmon,12/4/2014,
F10536,CRIADEROS DE PRODUCTOS DEL MAR ‚Äì CIPRON C. LTDA.,Ecuador,farm,Shrimp,4/21/2015,
F10539E,Multiexport Foods - Cluster - Refugio,Chile,salmonfarm,Salmon,fallow,
F10556D,Kelly Cove Salmon - Herring Cove,Canada,salmonfarm,Salmon,fallow,
F10570C,Productos del Mar Ventisqueros S.A. - Centro Calamaco,Chile,salmonfarm,Salmon,fallow,
F10575C,Empresas AquaChile SA - Cluster - Tauco (10A),Chile,salmonfarm,Salmon,fallow,
F10594A,Camanchaca Cultivos Sur SA - Cluster 1 - Caucahue,Chile,molluskfarm,Mussels,2/24/2015,
F10594B,Camanchaca Cultivos Sur SA - Cluster 1 - Chequian,Chile,molluskfarm,Mussels,2/24/2015,
F10605,Negocio Agricola San Enrique S.A de C.V. - Tastiota farm,Mexico,farm,Shrimp,11/16/2014,
F10617B,M/s. Kader Exports Ltd Cluster - V.Trinadha Babu,India,farm,Shrimp,1/3/2015,
F10620B,Seafresh Cluster 1 - Surat Thani Co-op,Thailand,farm,Shrimp,4/10/2015,
F10625I,Satya Sea Foods IOM 1 - Mudhunuri Satyanarayana Raju Farms,India,farm,Shrimp,6/8/2015,
F10631A,Invermar S.A. Farms-Yatac Farm,Chile,salmonfarm,Salmon,fallow,
F10631B,Invermar S.A. Farms-Chalihue Farm,Chile,salmonfarm,Salmon,10/17/2014,
F10632E,Apex Frozen Foods Pvt Ltd IOM 1 - Tallapalem,India,farm,Shrimp,5/5/2015,
F10647D,Wellcome Fisheries IOM 4 - Krutuvenu Farm,India,farm,Shrimp,4/18/2015,
F10679,Charoen Pokphand Foods PCL. - Farm Group 2 - Tanachote Farm,Thailand,farm,Shrimp,8/17/2015,
F10693,Juree Farm 16,Thailand,farm,Shrimp,7/24/2015,
F10718,Australis Mar S.A. - Centro Canal Costa (Canal Costa Site),Chile,salmonfarm,Salmon,7/17/2015,
F10727A,AMS - Cluster 3 - Aom Aok Prai farm (Bang-krang),Thailand,farm,Shrimp,9/15/2015,
F10731,"Fuqing Yujiang Agricultural Economy Development Co., Ltd.",China,farm,Shrimp,9/14/2015,
F10732,Marine Harvest Chile - Tortuga,Chile,salmonfarm,Salmon,fallow,
F10736,Goulburn River Trout Pty Ltd. (Walnut Island Trout Farm),Australia,farm,Trout,10/24/2015,
F10739A,Thai Union Group PCL. - Group 1 - Saguansin Farm,Thailand,farm,Shrimp,11/3/2014,
F10757,Devi Farm Group 1 - Prathyusha Global Trade (P) Ltd.,India,farm,Shrimp,11/12/2014,
F10044,"Sandhya Aqua Exports Pvt., Ltd. - Farm",India,farm,Shrimp,10/16/2015,
F11243,Shanwei Cathay Food - Hongyang Farm,China,farm,Tilapia,8/31/2015,
F10115,PT. Central Proteinaprima - Farm,Indonesia,farm,Shrimp,9/29/2015,
F10148,Jaran Farm,Thailand,farm,Shrimp,1/27/2015,
F10207,Arca Biru Sdn. Bhd.,Malaysia,farm,Shrimp,12/19/2014,
F10215C,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Srivichai Farm,Thailand,farm,Shrimp,10/26/2014,
F10242,Krishna Farm - Satya,India,farm,Shrimp,6/5/2015,
F10266E,Northern Harvest Sea Farms - Cluster - Birch Point,Canada,salmonfarm,Salmon,fallow,
F10267I,Cermaq Canada Ltd. - Venture Point,Canada,salmonfarm,Salmon,5/30/2015,
F10267Q,Cermaq Canada Ltd. - Fortune Channel,Canada,salmonfarm,Salmon,fallow,
F10268B,"Grieg Seafood BC, Ltd. Module 1 - Muchalat South Site",Canada,salmonfarm,Salmon,12/5/2014,
F10268F,"Grieg Seafood BC, Ltd. Module 1 - Barnes Bay Site",Canada,salmonfarm,Salmon,5/31/2015,
F10268G,"Grieg Seafood BC, Ltd. Module 1 - Steamer Point",Canada,salmonfarm,Salmon,fallow,
F10273A,"Salmones Camanchaca, S.A. - Porcelana Farm",Chile,salmonfarm,Salmon,fallow,
F10273M,"Salmones Camanchaca, S.A. - Fiordo Largo Farm",Chile,salmonfarm,Salmon,fallow,
F10290A,Marine Harvest Canada Inc. - Group Program - Lees Bay,Canada,salmonfarm,Salmon,12/19/2014,
F10290P,Marine Harvest Canada Inc. - Group Program - Koskimo Bay Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290R,Marine Harvest Canada Inc. - Group Program - Monday Rocks,Canada,salmonfarm,Salmon,12/19/2014,
F10290T,Marine Harvest Canada Inc. - Group Program - Swanson Island,Canada,salmonfarm,Salmon,12/19/2014,
F10296L,Northern Harvest Sea Farms NL Ltd. - Tilt Point,Canada,salmonfarm,Salmon,fallow,
F10296R,Northern Harvest Sea Farms NL Ltd. - Hickmans Point,Canada,salmonfarm,Salmon,10/10/2015,
F10296T,Northern Harvest Sea Farms NL Ltd.- Ironskull Point,Canada,salmonfarm,Salmon,10/10/2015,
F10302A,Cooke Aquaculture Chile S.A. - Cluster - Huillines 03,Chile,salmonfarm,Salmon,fallow,
F10311A,Mount Cook Alpine Salmon Ltd. - Tekapo Farm,New Zealand,farm,Salmon,8/23/2015,
F10328B,Salmones Blumar S.A. - 120 Chivato 2,Chile,salmonfarm,Salmon,fallow,
F10328R,Salmones Blumar S.A.- 030 Canalad 1,Chile,salmonfarm,Salmon,fallow,
F10345,"Dongwu Reservoir Farm of Zhanjiang Go-Harvest Co., Ltd.",China,farm,Tilapia,5/30/2015,
F10350B,Asvini IOM Farm Group 1 - Ch. Satya Narayana Varma Raju,India,farm,Shrimp,6/7/2015,
F10363A,"Associated Farm IOM 1 of Sagar Grandhi Exports Pvt., Ltd.¬†¬† - Mr. Ande Sai Babaiah",India,farm,Shrimp,7/24/2015,
F10373B,Cultivos Yadran S.A. - Benjamin 1 Farm,Chile,salmonfarm,Salmon,fallow,
F10373F,Cultivos Yadran S.A. - Benjamin 3 Farm,Chile,salmonfarm,Salmon,fallow,
F10373O,Cultivos Yadran S.A. - Benjamin 746 Farm,Chile,salmonfarm,Salmon,fallow,
F10382,"Zhoumeirong Aquaculture- Zhanjiang Jiayang Food Co., Ltd.",China,farm,Tilapia,9/22/2015,
F10388A,Thai Union Farm IOM Group 2 - Chor-Chaisaeng Farm,Thailand,farm,Shrimp,4/4/2015,
F10388F,Thai Union Group PCL _IOM Group 2 - Udomsuk Farm,Thailand,farm,Shrimp,4/4/2015,
F10409A,Wellcome Fisheries Limited IOM 1 - Sri Petchetti Satyanaarayana,India,farm,Shrimp,4/7/2015,
F10410M,Kelly Cove Salmon Ltd. - Man O War,Canada,salmonfarm,Salmon,fallow,
F10446,PT. Maju Tambak Sumur,Indonesia,farm,Shrimp,9/16/2015,
F10448E,Apex Frozen Foods IOM 2 - Siripuram 3 Farm*,India,farm,Shrimp,9/29/2015,
F10502B,Empresas AquaChile S.A. - Cluster - Guaitecas 2,Chile,salmonfarm,"Salmon, Trout",fallow,
F10518A,Promarisco - Marfrisco Farm,Ecuador,farm,Shrimp,10/22/2015,
F10532G,Good Luck - Cluster 6 - Uthen Farm,Thailand,farm,Shrimp,6/4/2015,
F10533E,Exportadora Los Fiordos Cluster Farms - Teresa 2,Chile,salmonfarm,Salmon,fallow,
F10533I,Exportadora Los Fiordos - Cluster - Estero Soto,Chile,salmonfarm,Salmon,12/4/2014,
F10533V,Exportadora Los Fiordos Cluster Farms - Tahuenahuec,Chile,salmonfarm,Salmon,fallow,
F10534,Vinh Hoan Corp - Tan Thuan Dong Farm,Viet Nam,farm,Pangasius,8/12/2015,
F10118,Chong Yuan Reservoir Tilapia Farm of Zhaoqing Evergreen Aquatic Product Science and Technology,China,farm,Tilapia,11/25/2015,
F10146A,Thai Union Group Public Company Limited - Cluster 4 - PK Farm 1,Thailand,farm,Shrimp,1/27/2015,
F10146B,Thai Union Group Public Company Limited - Cluster 4 - PK Farm 2,Thailand,farm,Shrimp,1/27/2015,
F10213,"Chengmai Xingyuan Development Co., Ltd. Hainan",China,farm,Tilapia,11/24/2015,
F10219,NHATRANG SEAPRODUCT COMPANY - VAN HUNG - VAN NINH FARM ZONE,Viet Nam,farm,Shrimp,12/29/2014,
F10244,I. Surya Rao,India,farm,Shrimp,10/7/2015,
F10259A,Nekkanti Seafoods Ltd. Farm - Kona Machilipatnam Farm,India,farm,Shrimp,3/26/2015,
F10259B,Nekkanti Seafoods Ltd. Farm - Srinivasa Marines,India,farm,Shrimp,3/26/2015,
F10266A,Northern Harvest Sea Farms - Curry Cove Sea Farm,Canada,salmonfarm,Salmon,fallow,
F10266F,Northern Harvest Sea Farms - Long Island,Canada,salmonfarm,Salmon,fallow,
F10266G,Northern Harvest Sea Farms - Cluster - Granger Cove,Canada,salmonfarm,Salmon,fallow,
F10273J,"Salmones Camanchaca, S.A. - Loncochalgua Farm",Chile,salmonfarm,Salmon,fallow,
F10273O,"Salmones Camanchaca, S.A. - Bahia Edwards",Chile,salmonfarm,Salmon,8/24/2015,
F10273Q,"Salmones Camanchaca, S.A. - Lamalec Farm",Chile,salmonfarm,Salmon,fallow,
F10287,"Hainan Qinfu Industry Co., Ltd. - Wenchang Xiwei Aquaculture Farm",China,farm,Tilapia,7/19/2015,
F10290E,Marine Harvest Canada Inc. - Group Program - Mahatta East,Canada,salmonfarm,Salmon,12/19/2014,
F10290Y,Marine Harvest Canada Inc. - Group Program - Doyle Island Site,Canada,salmonfarm,Salmon,12/19/2014,
F10296D,Northern Harvest Sea Farms NL Ltd. - Cluster - The Hobby,Canada,salmonfarm,Salmon,fallow,
F10296E,Northern Harvest Sea Farms NL Ltd. - Cluster - Harvey's Hill East,Canada,salmonfarm,Salmon,fallow,
F10296Q,Northern Harvest Sea Farms NL Ltd. - Spyglass Cove,Canada,salmonfarm,Salmon,fallow,
F10302H,Cooke Aquaculture Chile S.A. - Cluster - Ballenas 4,Chile,salmonfarm,Salmon,fallow,
F10302J,Cooke Aquaculture Chile S.A. - Cluster - Erasmo 3,Chile,salmonfarm,Salmon,fallow,
F10302M,Cooke Aquaculture Chile S.A. - Cluster - Williams 2,Chile,salmonfarm,Salmon,fallow,
F10328Q,Salmones Blumar S.A.- Cluster - 702 Dring 2,Chile,salmonfarm,Salmon,7/24/2015,
F10350C,Asvini IOM Farm Group 1 - *MVVST Prabhakara Rao,India,farm,Shrimp,6/7/2015,
F10350F,Asvini Fisheries Private Limited IOM 1 - Tammineedi Sai Venkata Rajesh,India,farm,Shrimp,6/7/2015,
F10353,Pacific Aquaculture Site 1-3,United States,farm,Trout,5/16/2015,
F10362C,Exportadora Los Fiordos Ltda. - Cluster - Cuptana 9,Chile,salmonfarm,Salmon,fallow,
F10373N,Cultivos Yadran- Jorge 742,Chile,salmonfarm,Salmon,fallow,
F10390,Wenchang Longfeng Reservoir Tilapia Farm,China,farm,Tilapia,12/14/2014,
F10400,BMR INDUSTRIES PRIVATE LIMITED,India,farm,Shrimp,3/31/2015,
F10412E,Kelly Cove Salmon Ltd. - Newfoundland Seal Cove,Canada,salmonfarm,Salmon,fallow,
F10416,Seavina Joint Stock Company - Shrimp Farm,Viet Nam,farm,Shrimp,3/10/2015,
F10425E,Penver Products Private Limited IOM 1 - Tropical Sea Foods,India,farm,Shrimp,6/11/2015,
F10432B,Charoen Pokphand Foods PCL. - Farm Group 2 - SRT1 Farm,Thailand,farm,Shrimp,8/17/2015,
F10058,"Apex Foods, Ltd.- Shrimp Farm 1",Bangladesh,farm,Shrimp,5/31/2015,
F10243,"West Coast Frozen Foods Pvt., Ltd. - Farm Division",India,farm,Shrimp,5/26/2015,
F10264,NTSF Seafoods JSC - Tan Loc¬†Farm,Viet Nam,farm,Pangasius,12/27/2014,
F10266C,Northern Harvest Sea Farms - Davidson Head (Quoddy),Canada,salmonfarm,Salmon,fallow,
F10267O,Cermaq Canada Ltd. - Dixon Bay,Canada,salmonfarm,Salmon,1/23/2015,
F10268D,"Grieg Seafood BC, Ltd. Module 1 - Kunechin",Canada,salmonfarm,Salmon,fallow,
F10268E,"Grieg Seafood BC, Ltd. Module 1 - Esperanza",Canada,salmonfarm,Salmon,fallow,
F10268J,"Grieg Seafood BC, Ltd. Module 1 - Culloden Site",Canada,salmonfarm,Salmon,4/4/2015,
F10273D,"Salmones Camanchaca, S.A. - Cluster - Leptepu Farm",Chile,salmonfarm,Salmon,11/16/2014,
F10273N,"Salmones Camanchaca, S.A. - Puerto Argentino",Chile,salmonfarm,Salmon,fallow,
F10273S,Salmones Camanchaca S.A. - Cluster - Forsyth Farm,Chile,salmonfarm,Salmon,12/4/2014,
F10290K,Marine Harvest Canada Inc. - Group Program - Okisollo¬†(Sonora Island),Canada,salmonfarm,Salmon,12/19/2014,
F10290N,Marine Harvest Canada Inc. - Group - Goat Cove Site,Canada,salmonfarm,Salmon,fallow,
F10290U,Marine Harvest Canada Inc. - Group Program - Doctor Islets,Canada,salmonfarm,Salmon,12/19/2014,
F10296A,Northern Harvest Sea Farms NL Ltd. - Cluster - Dog Cove,Canada,salmonfarm,Salmon,fallow,
F10296B,Northern Harvest Sea Farms NL Ltd. - Cluster - Salmonier Cove,Canada,salmonfarm,Salmon,fallow,
F10296G,Northern Harvest Sea Farms NL Ltd. - McGrath Cove South,Canada,salmonfarm,Salmon,10/10/2015,
F10296H,Northern Harvest Sea Farms NL Ltd. - Cluster - Murphy Pt.,Canada,salmonfarm,Salmon,fallow,
F10296P,Northern Harvest Sea Farms NL Ltd. -Old Woman's Cove,Canada,salmonfarm,Salmon,fallow,
F10296U,Northern Harvest Sea Farms NL Ltd.- Cluster - Broad Cove,Canada,salmonfarm,Salmon,fallow,
F10302B,Cooke Aquaculture Chile S.A. - Cluster - Las Mentas 01,Chile,salmonfarm,Salmon,8/29/2015,
F10302K,Cooke Aquaculture Chile S.A. - Cluster - Ballenas 1,Chile,salmonfarm,Salmon,fallow,
F10313H,Good Luck - Cluster 4 - Tong Kham Farm,Thailand,farm,Shrimp,1/7/2015,
F10315A,Productos del Mar Ventisqueros S.A - Morro Lobos Farm,Chile,salmonfarm,Salmon,12/13/2014,
F10315B,Productos del Mar Ventisqueros S.A - Centro Chillidque,Chile,salmonfarm,Salmon,fallow,
F10328F,Salmones Blumar S.A. - 831 Tangbac,Chile,salmonfarm,Salmon,1/23/2015,
F10328J,Salmones Blumar S.A. - Cluster - 703 Dring 3,Chile,salmonfarm,Salmon,7/24/2015,
F10328P,Salmones Blumar S.A.- 469 Ninualac 2,Chile,salmonfarm,Salmon,1/23/2015,
F10373J,Cultivos Yadran S.A. - Ensenada Farm,Chile,salmonfarm,Salmon,fallow,
F10373L,Cultivos Yadran S.A. - Melchor 717 Farm,Chile,salmonfarm,Salmon,3/2/2015,
F10383,PT. Sumber Hasil,Indonesia,farm,Shrimp,9/15/2015,
F10402,Thai Union Group PCL - TFM Satun,Thailand,farm,Shrimp,7/22/2015,
F10409B,Wellcome Fisheries Limited IOM 1 - Petchetti Sree Rangababu,India,farm,Shrimp,4/7/2015,
F10409D,Wellcome Fisheries Limited IOM 1 - Petchetti Ganga Bhavani,India,farm,Shrimp,4/7/2015,
F10421,"Kader Investment & Trading Co., Pvt. Ltd. Golden Aqua Farm",India,farm,Shrimp,6/11/2015,
F10442A,M/s. Kalyan Aqua&Marine Exports IOM 1 - Velagapudi Farm,India,farm,Shrimp,2/22/2015,
F10442B,M/s. Kalyan Aqua&Marine Exports IOM 1- Gundayapalem Farm,India,farm,Shrimp,2/22/2015,
F10448C,Apex Frozen Foods IOM 2 - Siripuram 2 Farm,India,farm,Shrimp,9/29/2015,
F10453,Hoang Long Seafood Pangasius 48 HA,Viet Nam,farm,Pangasius,10/22/2014,
F10458A,Pesquera Apiao S.A. - Rilan Curahue Farms,Chile,molluskfarm,Mussels,5/7/2015,
F10488,PT. Surya Windu Kartika,Indonesia,farm,Shrimp,1/29/2015,
F10492,Australis Aquaculture Vietnam Ltd.,Viet Nam,farm,Barramundi,6/17/2015,
F10496,C.I. Piscicola Botero S.A. - Farm,Colombia,farm,Tilapia,7/15/2015,
F10532L,Good Luck - Cluster 6 - Jamrat Farm,Thailand,farm,Shrimp,6/4/2015,
F10533W,Exportadora Los Fiordos Cluster Farms - Caceres,Chile,salmonfarm,Salmon,fallow,
F10539F,Multiexport Foods - Cluster - Teuquelin,Chile,salmonfarm,Salmon,2/11/2015,
F10547D,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Thach Nil,Viet Nam,farm,Shrimp,1/6/2015,
F10548,XuWen County QianShan Town BeiSong Reservoir Farm,China,farm,Tilapia,10/31/2015,
F10552C,Granja Marina Tornagaleones S.A. - Latolque,Chile,salmonfarm,Salmon,2/19/2015,
F10570A,Productos del Mar Ventisqueros S.A. - Cluster - Rio Re?±ihue,Chile,salmonfarm,Salmon,fallow,
F10570B,Productos del Mar Ventisqueros S.A. - Centro Antepulli,Chile,salmonfarm,Salmon,fallow,
F10570G,Productos del Mar Ventisqueros S.A. - Isla Malomacum,Chile,salmonfarm,Salmon,fallow,
F10572B,"DataJ AquaFarm, Inc. - Simbaluca Site",Philippines,farm,Shrimp,5/10/2015,
F10575A,Empresas AquaChile SA - Cluster - Detif (10B),Chile,salmonfarm,Salmon,1/9/2015,
F10575B,Empresas AquaChile SA - Cluster - Liucura (10B),Chile,salmonfarm,Salmon,fallow,
F10575G,Empresas AquaChile SA - Cluster -Isla Guar (2),Chile,salmonfarm,Salmon,fallow,
F10575H,Empresas AquaChile SA - Cluster - Huenquillahue (2),Chile,salmonfarm,Salmon,1/9/2015,
F10584E,Marine Harvest Chile - Punta Cuem,Chile,salmonfarm,Salmon,fallow,
F10589,Vinh Hoan Corp. - Binh Thanh Farm,Viet Nam,farm,Pangasius,11/14/2014,
F10597,Yojoa - Regal Spring Farm,Honduras,farm,Tilapia,7/31/2015,
F10601,Granjas Marinas - Honduras - Cadelpa,Honduras,farm,Shrimp,6/30/2015,
F10604,Terraquil S.A.,Ecuador,farm,Shrimp,6/26/2015,
F10612,Luthorcorp S.A.,Ecuador,farm,Shrimp,6/26/2015,
F10617E,M/s. Kader Exports Ltd Cluster - D. Ramesh,India,farm,Shrimp,1/3/2015,
F10623,Wenchang Jinshan Hushan Mao Shan Po Village Huang Yuanfen Tilapia Farm,China,farm,Tilapia,1/25/2015,
F10625C,Satya Sea Foods IOM - Goli Balakrishna Farms,India,farm,Shrimp,6/8/2015,
F10625G,Satya Sea Foods IOM 1 - DKVPVS Raju Farms - 1,India,farm,Shrimp,6/8/2015,
F10627,GeneSeas Aquacultura Ltda - Santa F?© do Sul,Brazil,farm,Tilapia,9/23/2015,
F10631D,Invermar S.A. Farms-Yelqui Farm,Chile,salmonfarm,Salmon,fallow,
F10665C,Salmones Multiexport S.A. Salmon Farms- Cluster - Jorge Farm,Chile,salmonfarm,Salmon,8/1/2015,
F10665H,Salmones Multiexport S.A. - Cluster - Quernada Farm,Chile,salmonfarm,Salmon,3/21/2015,
F10691,M/s. Munnangi Sea Foods Private Limited,India,farm,Shrimp,7/28/2015,
F10547A,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Truong Van Dung,Viet Nam,farm,Shrimp,1/6/2015,
F10553C,Seaprimexco IOM 1- Luu Van Ben,Viet Nam,farm,Shrimp,11/21/2014,
F10559A,"Ananda Cluster 1 - Ananda Enterprises (India) Pvt., Ltd.",India,farm,Shrimp,9/11/2015,
F10560,Sri Rama Krishna Aquaculture (P) Ltd.,India,farm,Shrimp,9/15/2015,
F10572A,"DataJ AquaFarm, Inc. - Caniugan Site",Philippines,farm,Shrimp,5/10/2015,
F10575L,Empresas AquaChile - Cluster - Benjamin,Chile,salmonfarm,Salmon,fallow,
F10584A,Marine Harvest - Chile - Cluster -Camahue,Chile,salmonfarm,Salmon,3/2/2015,
F10584F,Marine Harvest Chile - Cluster -Yaotal,Chile,salmonfarm,Salmon,3/2/2015,
F10602,Granjas Marinas - Honduras - Sea Farms (Las Arenas),Honduras,farm,Shrimp,6/30/2015,
