BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10588,Shree Datt Aquaculture Farms Pvt Ltd. (Tandel's),India,farm,Shrimp,11/9/2014,
F10591,Peruvian Andean Trout S.A.C. - Farm,Peru,farm,Trout,6/5/2015,
F10594C,Camanchaca Cultivos Sur SA - Cluster 1 - Pullao,Chile,molluskfarm,Mussels,2/24/2015,
F10600,Granjas Marinas - Honduras - Crimasa,Honduras,farm,Shrimp,6/30/2015,
F10606A,Cermaq Chile S.A. - Cluster - Centro Quilen,Chile,salmonfarm,Salmon,fallow,
F10606B,Cermaq Chile S.A. - Cluster - Centro Imelev,Chile,salmonfarm,Salmon,1/26/2015,
F10615A,Mangala Seafoods / Sunnyvale IOM 1 - G.Chenchu Ramaiah,India,farm,Shrimp,5/10/2015,
F10620C,Seafresh Cluster 1 - Samran Farm,Thailand,farm,Shrimp,4/10/2015,
F10628D,Choice Trading Corporation Pvt Ltd IOM 2 - Suyavamsi Aqua Farm,India,farm,Shrimp,5/17/2015,
F10631C,Invermar S.A. Farms-Puqueldon Farm,Chile,salmonfarm,Salmon,10/21/2014,
F10632B,Apex Frozen Foods Pvt Ltd IOM 1 - Gokavaram,India,farm,Shrimp,5/5/2015,
F10643,PT Windu Empang Mas,Indonesia,farm,Shrimp,5/7/2015,
F10661,Krusha farm (Choice Canning Company,India,farm,Shrimp,6/5/2015,
F10665D,Salmones Multiexport S.A. Salmon Farms- Cluster - Stokes Farm,Chile,salmonfarm,Salmon,8/1/2015,
F10665E,Salmones Multiexport S.A. Salmon Farms- Cluster - Cuchi Farm,Chile,salmonfarm,Salmon,3/21/2015,
F10666B,Geo Seafoods /Sunnyvale - IOM 1 - Mr. Datla Ravi Buchi Varma,India,farm,Shrimp,6/29/2015,
F10677,Charoen Pokphand Foods PCL. - Farm Group 2 - Sawee 1 Farm,Thailand,farm,Shrimp,8/17/2015,
F10690,Cantho Import Export Fishery Limited Company (Cafish Vietnam),Viet Nam,farm,Shrimp,7/17/2015,
F10698B,AMS Cluster 2 - I'm Shrimp Farm 3,Thailand,farm,Shrimp,6/25/2015,
F10727C,AMS - Cluster 3 - Aom Aok Prai Farm,Thailand,farm,Shrimp,9/15/2015,
F10734,Marine Harvest Chile - Lyng 2,Chile,salmonfarm,Salmon,fallow,
F10735,Goulburn River Trout Pty Ltd. (Farm 1: Thornton),Australia,farm,Trout,10/24/2015,
F10740B,Thai Union Group - Cluster 9 - Aphisit Farm,Thailand,farm,Shrimp,9/3/2015,
F10743,MPA Fish Farms Pty Ltd. - Cone Bay Ocean Barramundi,Australia,farm,Barramundi,12/17/2014,
F10752,Kuliarchar Shrimp Farm,Bangladesh,farm,"Shrimp, Tilapia, Seabass",10/23/2014,
F10759A,"Sea Wealth Frozen Food Co., Ltd. - Cluster 2 - Samorn Farm",Thailand,farm,Shrimp,12/15/2014,
F10769,PT. Grahamakmur Ciptapratama - Bimo Bantaran Asri Farm,Indonesia,farm,Shrimp,1/17/2015,
F10773,Donglin Gongyonghua Farm Wengtian Town Wenchang City,China,farm,Tilapia,12/1/2014,
F10786,Wenchang Wengtian Fushan Wanghaizhong Farm,China,farm,Tilapia,12/1/2014,
F10790,Hainan Dingan Longhe Town Baichangdu Reservoir Wuduoze Farming Base,China,farm,Tilapia,12/30/2014,
F10797,SONGA - Naturisa S.A. Farm,Ecuador,farm,Shrimp,2/6/2015,
F10799B,AMS - Cluster 5 - I Shrimp Farm 2,Thailand,farm,Shrimp,12/1/2014,
F10804D,Thai Union Group - Cluster 10 - Rachain Farm,Thailand,farm,Shrimp,3/11/2015,
F10804F,Thai Union Group - Cluster 10 - Wanchai Farm,Thailand,farm,Shrimp,3/11/2015,
F10805C,Salmones Caleta Bay S.A. (1) Cluster - Cascajal,Chile,salmonfarm,Trout,1/9/2015,
F10807A,Granja Marina Tornagaleones S.A. - Leutepu,Chile,salmonfarm,Salmon,fallow,
F10807B,Granja Marina Tornagaleones S.A. - Duncan,Chile,salmonfarm,Salmon,fallow,
F10812A,"Asian Feed Co., Ltd. - Cluster 1 - Asian Seafood (Surathani) Co, Ltd.",Thailand,farm,Shrimp,3/16/2015,
F10816A,AMS - Cluster 6 - Go-Sang Farm,Thailand,farm,Shrimp,1/3/2015,
F10816B,AMS - Cluster 6 - Kriangkrai Farm,Thailand,farm,Shrimp,1/3/2015,
F10064,Thai Union Group PCL - Burapa Lam Dang,Thailand,farm,Shrimp,9/23/2015,
F10097A,Okeanos Cluster 1 - TSM 1 Farm,Thailand,farm,Shrimp,6/23/2015,
F10182,HeAn Shrimp Farm of Zhanjiang Southern Ocean Fishery Ltd.,China,farm,"Shrimp, Pompano",9/30/2015,
F10241,"Devi Sea Foods Ltd., Beeramgunta Farm",India,farm,Shrimp,11/22/2014,
F10249A,Camimex - Cluster 1 - Farm 1,Viet Nam,farm,Shrimp,8/2/2015,
F10266B,Northern Harvest Sea Farms - Man- O- War,Canada,salmonfarm,Salmon,fallow,
F10266D,"Northern Harvest Sea Farms - Otter Cove Sea Farm (Harbour D, Lourte)",Canada,salmonfarm,Salmon,fallow,
F10267G,Cermaq Canada Ltd. - Burdwood,Canada,salmonfarm,Salmon,fallow,
F10267L,Cermaq Canada Ltd. - Bawden Point,Canada,salmonfarm,Salmon,7/26/2015,
F10267N,Cermaq Canada Ltd. - Mussel Rock,Canada,salmonfarm,Salmon,1/23/2015,
F10267S,Cermaq Canada Ltd. - Binns,Canada,salmonfarm,Salmon,fallow,
