"","COUNTRY_NAME","total"
"1","Malaysia",693
"2","India",444
"3","Vietnam",200
"4","China",85
"5","Indonesia",77
"6","Bangladesh",64
"7","Thailand",49
"8","Philippines",35
"9","Myanmar",23
"10","Brunei",21
"11","Mexico",21
"12","Ecuador",16
"13","Ghana",14
"14","Guyana",13
"15","Venezuela",12
"16","Argentina",9
"17","Hong Kong",9
"18","Côte d'Ivoire",5
"19","Pakistan",4
"20","United Arab Emirates",4
"21","Canada",3
"22","South Korea",3
"23","Nicaragua",2
"24","Panama",1
"25","Sri Lanka",1
