"","YEAR","COUNTRY_NAME","LAT","LON","SALMONELLA","VETDRUGRES","NITROFURAN","FILTHY","REFUSAL_NUM"
"1",2002,"Argentina",-35.2201719959357,-65.149543390921,0,0,0,0,4
"2",2002,"Aruba",12.5208888076395,-69.9826746626789,0,0,0,1,1
"3",2002,"Bangladesh",23.8394617953441,90.267928277196,16,0,0,14,25
"4",2002,"Brazil",-10.8067736434989,-53.0543400357671,1,0,0,5,7
"5",2002,"Canada",57.7487688035733,-101.569822125212,6,0,0,1,6
"6",2002,"Chile",-37.3418318678577,-71.6709451193705,0,0,0,0,1
"7",2002,"China",36.6094323800447,103.865365256658,7,1,0,9,17
"8",2002,"Colombia",3.9272138627097,-73.0777320869748,1,0,0,0,1
"9",2002,"Ecuador",-1.45477170554058,-78.3841667460837,3,0,0,0,4
"10",2002,"Ghana",7.92865181309965,-1.2369685557064,0,0,0,1,3
"11",2002,"Guyana",4.79022537517476,-58.9712031085625,0,0,0,1,1
"12",2002,"Hong Kong",22.4391838902362,114.139181322989,0,0,0,0,1
"13",2002,"India",22.9250064074085,79.5937037632538,65,0,0,73,84
"14",2002,"Indonesia",-0.254301557222141,114.022683532525,32,0,0,55,63
"15",2002,"Japan",36.019075365944,136.881947315984,0,0,0,0,1
"16",2002,"Mexico",23.9353719022448,-102.576349523987,3,0,0,3,5
"17",2002,"Myanmar",21.0169998737738,96.5058409420615,2,0,0,6,7
"18",2002,"Pakistan",29.9734600255474,69.4139980631813,0,0,0,1,1
"19",2002,"Panama",8.53001938886466,-80.1091648354938,0,0,0,0,1
"20",2002,"Philippines",15.7509443494214,121.54444242782,1,0,0,3,7
"21",2002,"South Korea",36.4275986041549,127.821317128331,0,0,0,0,2
"22",2002,"Sri Lanka",7.70053441724811,80.6672357493165,0,0,0,0,1
"23",2002,"Suriname",4.12000803175888,-55.9114562995207,0,0,0,0,1
"24",2002,"Taiwan",23.7409649797849,120.974800737486,0,0,0,0,1
"25",2002,"Thailand",15.0169749914165,101.006133546261,8,0,0,18,22
"26",2002,"United Arab Emirates",23.8686336533476,54.2067147615963,0,0,0,1,1
"27",2002,"United States of America",39.5015541259931,-99.0602406280213,0,0,0,0,3
"28",2002,"Venezuela",7.16213226763901,-66.1638272783024,4,0,0,0,4
"29",2002,"Vietnam",16.6579377532549,106.285840797052,58,6,0,12,77
"30",2003,"Bangladesh",23.8394617953441,90.267928277196,5,0,0,11,14
"31",2003,"Brazil",-10.8067736434989,-53.0543400357671,21,0,0,4,25
"32",2003,"Canada",57.7487688035733,-101.569822125212,0,0,0,4,6
"33",2003,"China",36.6094323800447,103.865365256658,20,19,0,11,55
"34",2003,"Colombia",3.9272138627097,-73.0777320869748,1,0,0,0,1
"35",2003,"Ecuador",-1.45477170554058,-78.3841667460837,0,0,0,0,3
"36",2003,"Guyana",4.79022537517476,-58.9712031085625,1,0,0,2,3
"37",2003,"Honduras",14.8229470816529,-86.5899638380155,15,0,0,0,15
"38",2003,"India",22.9250064074085,79.5937037632538,84,0,0,82,118
"39",2003,"Indonesia",-0.254301557222141,114.022683532525,52,0,0,30,69
"40",2003,"Malaysia",3.54811177078971,114.675513963341,0,1,0,6,9
"41",2003,"Mexico",23.9353719022448,-102.576349523987,9,0,0,1,10
"42",2003,"Myanmar",21.0169998737738,96.5058409420615,9,0,0,10,12
"43",2003,"Nicaragua",12.848190428037,-85.0203185008025,0,0,0,9,9
"44",2003,"Pakistan",29.9734600255474,69.4139980631813,1,0,0,0,1
"45",2003,"Peru",-9.19156290513455,-74.3918058168472,1,0,0,0,1
"46",2003,"Philippines",15.7509443494214,121.54444242782,1,0,0,0,1
"47",2003,"Singapore",1.3587706612637,103.817253203119,0,0,0,0,1
