MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,Row_No,TextJoinTest,Duplicate
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,5,1,,No,No,9,SHRIMP & PRAWNS,79,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 5, 1, No, No, 9, SHRIMP & PRAWNS, 79",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,6,1,,No,No,9,SHRIMP & PRAWNS,80,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 6, 1, No, No, 9, SHRIMP & PRAWNS, 80",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,7,1,,No,No,9,SHRIMP & PRAWNS,81,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 7, 1, No, No, 9, SHRIMP & PRAWNS, 81",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,8,1,,No,No,9,SHRIMP & PRAWNS,82,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 8, 1, No, No, 9, SHRIMP & PRAWNS, 82",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,9,1,,No,No,9,SHRIMP & PRAWNS,83,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 9, 1, No, No, 9, SHRIMP & PRAWNS, 83",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,8/18/2006,SWI-DO,027-2754403-9,10,1,,No,No,9,SHRIMP & PRAWNS,84,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 38947, SWI-DO, 027-2754403-9, 10, 1, No, No, 9, SHRIMP & PRAWNS, 84",FALSE
3002746447,Empacadora Ama del Norte S.A. de C.V.,1 de Mayo #61 Col Lazaro Cardenas,,Matamoros,Fn,MX,16JGT05,11/1/2006,SWI-DO,027-2754407-0,1,1,,No,Yes,9,SHRIMP & PRAWNS,85,"3002746447, Empacadora Ama del Norte S.A. de C.V., 1 de Mayo #61 Col Lazaro Cardenas, Matamoros, Fn, MX, 16JGT05, 39022, SWI-DO, 027-2754407-0, 1, 1, No, Yes, 9, SHRIMP & PRAWNS, 85",FALSE
3004615669,Alimentos Congelados La Sultana Sa De Cv,Calzada Madero 1385 Pte Int 1,,Monterrey,,MX,16JGT05,11/16/2006,SWI-DO,027-2754410-4,5,1,,Yes,No,9,SHRIMP & PRAWNS,86,"3004615669, Alimentos Congelados La Sultana Sa De Cv, Calzada Madero 1385 Pte Int 1, Monterrey, MX, 16JGT05, 39037, SWI-DO, 027-2754410-4, 5, 1, Yes, No, 9, SHRIMP & PRAWNS, 86",FALSE
1000559335,SOHAFARM Export-Imort,"Thoi Long Village, O Mon District",,Can Tho Province,,VN,16JGD05,12/6/2002,LOS-DO,065-1144280-5,1,1,,Yes,No,9,SHRIMP & PRAWNS,254,"1000559335, SOHAFARM Export-Imort, Thoi Long Village, O Mon District, Can Tho Province, VN, 16JGD05, 37596, LOS-DO, 065-1144280-5, 1, 1, Yes, No, 9, SHRIMP & PRAWNS, 254",FALSE
3002916597,Ningbo Hualian Group Co. Ltd.,238 Zhongshan East Road,,Ningbo,,CN,16JGT05,4/18/2003,FLA-DO,032-0302401-7,1,1,,Yes,No,249,SHRIMP & PRAWNS,354,"3002916597, Ningbo Hualian Group Co. Ltd., 238 Zhongshan East Road, Ningbo, CN, 16JGT05, 37729, FLA-DO, 032-0302401-7, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 354",FALSE
3003795867,Zhoushan Aquatic Products Processing Factory,"265 Xinjian Road, Putuo",,"Zhoushan City, Zhejiang Prov.",,CN,16JGT05,6/5/2003,FLA-DO,032-0302442-1,1,1,,Yes,No,249,SHRIMP & PRAWNS,355,"3003795867, Zhoushan Aquatic Products Processing Factory, 265 Xinjian Road, Putuo, Zhoushan City, Zhejiang Prov., CN, 16JGT05, 37777, FLA-DO, 032-0302442-1, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 355",FALSE
3003667630,Saota Seafood Factory,"89 National Road 1a, Ward 2",,Soc Trang,,VN,16XGD21,4/20/2004,FLA-DO,032-0316146-2,1,1,,Yes,No,2860,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",433,"3003667630, Saota Seafood Factory, 89 National Road 1a, Ward 2, Soc Trang, VN, 16XGD21, 38097, FLA-DO, 032-0316146-2, 1, 1, Yes, No, 2860, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 433",FALSE
3002104553,Seville Products Ltd,Unknown Street,,Sharjah,,AE,16JGN05,9/25/2002,BLT-DO,023-0230240-7,1,1,,Yes,Yes,249,SHRIMP & PRAWNS,534,"3002104553, Seville Products Ltd, Unknown Street, Sharjah, AE, 16JGN05, 37524, BLT-DO, 023-0230240-7, 1, 1, Yes, Yes, 249, SHRIMP & PRAWNS, 534",FALSE
3004284991,Saint Martin Sea Food Ltd,Elaipur East Rupsha Khulna-mongla Highw,Rupsha,Rupsha East,Khulna,BD,16JGN05,11/12/2002,BLT-DO,023-0230725-7,1,1,,No,No,9,SHRIMP & PRAWNS,535,"3004284991, Saint Martin Sea Food Ltd, Elaipur East Rupsha Khulna-mongla Highw, Rupsha, Rupsha East, Khulna, BD, 16JGN05, 37572, BLT-DO, 023-0230725-7, 1, 1, No, No, 9, SHRIMP & PRAWNS, 535",FALSE
3004284991,Saint Martin Sea Food Ltd,Elaipur East Rupsha Khulna-mongla Highw,Rupsha,Rupsha East,Khulna,BD,16JGN05,11/12/2002,BLT-DO,023-0230725-7,1,1,,No,No,249,SHRIMP & PRAWNS,535,"3004284991, Saint Martin Sea Food Ltd, Elaipur East Rupsha Khulna-mongla Highw, Rupsha, Rupsha East, Khulna, BD, 16JGN05, 37572, BLT-DO, 023-0230725-7, 1, 1, No, No, 249, SHRIMP & PRAWNS, 535",FALSE
3005090539,Camau Seafood Factory No. 5,999 Ly Thuong Kiet Street,Ward 6,Camau City,VN-59,VN,16JGN05,9/11/2003,BLT-DO,023-0233001-0,1,1,,Yes,No,295,SHRIMP & PRAWNS,536,"3005090539, Camau Seafood Factory No. 5, 999 Ly Thuong Kiet Street, Ward 6, Camau City, VN-59, VN, 16JGN05, 37875, BLT-DO, 023-0233001-0, 1, 1, Yes, No, 295, SHRIMP & PRAWNS, 536",FALSE
8830,PT Medan Tropical Canning and Frozen Industries,Km. 10.5,Jln. Yos Sudarso,Medan,Sumatera Utara,ID,16JEE05,2/12/2004,SEA-DO,004-9358343-9,1,1,,Yes,No,249,SHRIMP & PRAWNS,857,"8830, PT Medan Tropical Canning and Frozen Industries, Km. 10.5, Jln. Yos Sudarso, Medan, Sumatera Utara, ID, 16JEE05, 38029, SEA-DO, 004-9358343-9, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 857",FALSE
3004255857,"ELABORADOS FREIREMAR VIGO, S.A.",Muelle De Reparaciones De Coya-bouzas,,VIGO,ES-PO,ES,16JGT05,10/16/2006,NWE-DO,002-1147335-0,3,1,,Yes,No,324,SHRIMP & PRAWNS,883,"3004255857, ELABORADOS FREIREMAR VIGO, S.A., Muelle De Reparaciones De Coya-bouzas, VIGO, ES-PO, ES, 16JGT05, 39006, NWE-DO, 002-1147335-0, 3, 1, Yes, No, 324, SHRIMP & PRAWNS, 883",FALSE
3004255857,"ELABORADOS FREIREMAR VIGO, S.A.",Muelle De Reparaciones De Coya-bouzas,,VIGO,ES-PO,ES,16JGT05,10/16/2006,NWE-DO,002-1147335-0,3,1,,Yes,No,2040,SHRIMP & PRAWNS,883,"3004255857, ELABORADOS FREIREMAR VIGO, S.A., Muelle De Reparaciones De Coya-bouzas, VIGO, ES-PO, ES, 16JGT05, 39006, NWE-DO, 002-1147335-0, 3, 1, Yes, No, 2040, SHRIMP & PRAWNS, 883",FALSE
3003461748,PT Toba Surimi Industries,Jl Pulau Pinang 2,,Medan,Sumatera Utara,ID,16JEE05,8/16/2006,SEA-DO,004-2053453-9,1,1,,Yes,No,249,SHRIMP & PRAWNS,1445,"3003461748, PT Toba Surimi Industries, Jl Pulau Pinang 2, Medan, Sumatera Utara, ID, 16JEE05, 38945, SEA-DO, 004-2053453-9, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 1445",FALSE
3013271826,Tropical Canning (Thailand) Public Company,1 M.2 T.Thungyai,,Hat Yai,Songkhla,TH,16JEE05,6/26/2002,SAN-DO,004-8775269-3,1,1,,No,Yes,249,SHRIMP & PRAWNS,1461,"3013271826, Tropical Canning (Thailand) Public Company, 1 M.2 T.Thungyai, Hat Yai, Songkhla, TH, 16JEE05, 37433, SAN-DO, 004-8775269-3, 1, 1, No, Yes, 249, SHRIMP & PRAWNS, 1461",FALSE
8830,PT Medan Tropical Canning and Frozen Industries,Km. 10.5,Jln. Yos Sudarso,Medan,Sumatera Utara,ID,16JEE05,7/23/2002,SEA-DO,004-8825856-7,1,1,,Yes,Yes,249,SHRIMP & PRAWNS,1467,"8830, PT Medan Tropical Canning and Frozen Industries, Km. 10.5, Jln. Yos Sudarso, Medan, Sumatera Utara, ID, 16JEE05, 37460, SEA-DO, 004-8825856-7, 1, 1, Yes, Yes, 249, SHRIMP & PRAWNS, 1467",FALSE
3003461748,PT Toba Surimi Industries,Jl Pulau Pinang 2,,Medan,Sumatera Utara,ID,16JEE05,11/21/2006,SEA-DO,004-2111614-6,1,1,,Yes,No,249,SHRIMP & PRAWNS,1514,"3003461748, PT Toba Surimi Industries, Jl Pulau Pinang 2, Medan, Sumatera Utara, ID, 16JEE05, 39042, SEA-DO, 004-2111614-6, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 1514",FALSE
3003461748,PT Toba Surimi Industries,Jl Pulau Pinang 2,,Medan,Sumatera Utara,ID,16JEE05,11/21/2006,SEA-DO,004-2130932-9,1,1,,Yes,No,249,SHRIMP & PRAWNS,1516,"3003461748, PT Toba Surimi Industries, Jl Pulau Pinang 2, Medan, Sumatera Utara, ID, 16JEE05, 39042, SEA-DO, 004-2130932-9, 1, 1, Yes, No, 249, SHRIMP & PRAWNS, 1516",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/23/2002,NYK-DO,077-1003917-8,2,1,,No,No,249,SHRIMP & PRAWNS,1679,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37279, NYK-DO, 077-1003917-8, 2, 1, No, No, 249, SHRIMP & PRAWNS, 1679",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/23/2002,NYK-DO,077-1003917-8,2,1,,No,No,9,SHRIMP & PRAWNS,1679,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37279, NYK-DO, 077-1003917-8, 2, 1, No, No, 9, SHRIMP & PRAWNS, 1679",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/8/2002,NYK-DO,077-1004256-0,2,1,,No,No,9,SHRIMP & PRAWNS,1680,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37264, NYK-DO, 077-1004256-0, 2, 1, No, No, 9, SHRIMP & PRAWNS, 1680",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/8/2002,NYK-DO,077-1004256-0,2,1,,No,No,249,SHRIMP & PRAWNS,1680,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37264, NYK-DO, 077-1004256-0, 2, 1, No, No, 249, SHRIMP & PRAWNS, 1680",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/8/2002,NYK-DO,077-1004257-8,2,1,,No,No,9,SHRIMP & PRAWNS,1681,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37264, NYK-DO, 077-1004257-8, 2, 1, No, No, 9, SHRIMP & PRAWNS, 1681",FALSE
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN,16JFD05,1/8/2002,NYK-DO,077-1004257-8,2,1,,No,No,249,SHRIMP & PRAWNS,1681,"3003096898, Bengal Frozen Foods, Sandy Lane Farmsandey Lane Aveley, Essex, IN, 16JFD05, 37264, NYK-DO, 077-1004257-8, 2, 1, No, No, 249, SHRIMP & PRAWNS, 1681",FALSE
3004379969,Galba Impex Pvt. Ltd.,"Ichapur Canal Side, Post Santagacji",,West Bengal,,IN,16JFD05,7/2/2004,NYK-DO,077-3004921-5,1,1,,No,No,249,SHRIMP & PRAWNS,1687,"3004379969, Galba Impex Pvt. Ltd., Ichapur Canal Side, Post Santagacji, West Bengal, IN, 16JFD05, 38170, NYK-DO, 077-3004921-5, 1, 1, No, No, 249, SHRIMP & PRAWNS, 1687",FALSE
3004379969,Galba Impex Pvt. Ltd.,"Ichapur Canal Side, Post Santagacji",,West Bengal,,IN,16JFD05,7/2/2004,NYK-DO,077-3004921-5,1,1,,No,No,9,SHRIMP & PRAWNS,1687,"3004379969, Galba Impex Pvt. Ltd., Ichapur Canal Side, Post Santagacji, West Bengal, IN, 16JFD05, 38170, NYK-DO, 077-3004921-5, 1, 1, No, No, 9, SHRIMP & PRAWNS, 1687",FALSE
3004082248,Mmc Exports Limite,Unknown Street,,Calcutta,,IN,16JFD05,7/2/2004,NYK-DO,077-4000402-8,1,1,,No,No,9,SHRIMP & PRAWNS,1688,"3004082248, Mmc Exports Limite, Unknown Street, Calcutta, IN, 16JFD05, 38170, NYK-DO, 077-4000402-8, 1, 1, No, No, 9, SHRIMP & PRAWNS, 1688",FALSE
3004082248,Mmc Exports Limite,Unknown Street,,Calcutta,,IN,16JFD05,7/2/2004,NYK-DO,077-4000402-8,1,1,,No,No,249,SHRIMP & PRAWNS,1688,"3004082248, Mmc Exports Limite, Unknown Street, Calcutta, IN, 16JFD05, 38170, NYK-DO, 077-4000402-8, 1, 1, No, No, 249, SHRIMP & PRAWNS, 1688",FALSE
3013275077,Minh Qui Seafood,"8, Industrial Park, Ward",,Ca Mau,Ca Mau,VN,16XGT21,11/8/2005,LOS-DO,082-0281243-7,1,1,,No,Yes,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1754,"3013275077, Minh Qui Seafood, 8, Industrial Park, Ward, Ca Mau, Ca Mau, VN, 16XGT21, 38664, LOS-DO, 082-0281243-7, 1, 1, No, Yes, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1754",FALSE
3004249663,PT. KEDAMAIAN,Jakarta Fishing Port,Jl. Muara Baru Ujung,JAKARTA UTARA,ID-JK,ID,16XGD21,12/1/2005,LOS-DO,082-0281457-3,1,1,,No,No,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1759,"3004249663, PT. KEDAMAIAN, Jakarta Fishing Port, Jl. Muara Baru Ujung, JAKARTA UTARA, ID-JK, ID, 16XGD21, 38687, LOS-DO, 082-0281457-3, 1, 1, No, No, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1759",FALSE
3004249663,PT. KEDAMAIAN,Jakarta Fishing Port,Jl. Muara Baru Ujung,JAKARTA UTARA,ID-JK,ID,16XGD21,12/1/2005,LOS-DO,082-0281457-3,2,1,,No,No,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1760,"3004249663, PT. KEDAMAIAN, Jakarta Fishing Port, Jl. Muara Baru Ujung, JAKARTA UTARA, ID-JK, ID, 16XGD21, 38687, LOS-DO, 082-0281457-3, 2, 1, No, No, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1760",FALSE
3004249663,PT. KEDAMAIAN,Jakarta Fishing Port,Jl. Muara Baru Ujung,JAKARTA UTARA,ID-JK,ID,16XGD21,12/1/2005,LOS-DO,082-0281457-3,3,1,,Yes,No,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1761,"3004249663, PT. KEDAMAIAN, Jakarta Fishing Port, Jl. Muara Baru Ujung, JAKARTA UTARA, ID-JK, ID, 16XGD21, 38687, LOS-DO, 082-0281457-3, 3, 1, Yes, No, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1761",FALSE
3004281441,National Sea Food Industries,"No. 52 Char-Rupsha, Bagmara, Plot",,Khulna,,BD,16XGD21,12/7/2005,LOS-DO,082-0281656-0,1,1,,Yes,No,249,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1763,"3004281441, National Sea Food Industries, No. 52 Char-Rupsha, Bagmara, Plot, Khulna, BD, 16XGD21, 38693, LOS-DO, 082-0281656-0, 1, 1, Yes, No, 249, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1763",FALSE
3004281441,National Sea Food Industries,"No. 52 Char-Rupsha, Bagmara, Plot",,Khulna,,BD,16XGD21,12/7/2005,LOS-DO,082-0281656-0,2,1,,No,No,249,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1764,"3004281441, National Sea Food Industries, No. 52 Char-Rupsha, Bagmara, Plot, Khulna, BD, 16XGD21, 38693, LOS-DO, 082-0281656-0, 2, 1, No, No, 249, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1764",FALSE
3004300892,CAFATEX FISHERY JOINT STOCK CORPORATION,"Km 2081 National Road No.1,",Chau Thanh A District,Tay Ninh,VN-73,VN,16XGD21,12/7/2005,LOS-DO,082-0281865-7,1,1,,No,No,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1765,"3004300892, CAFATEX FISHERY JOINT STOCK CORPORATION, Km 2081 National Road No.1,, Chau Thanh A District, Tay Ninh, VN-73, VN, 16XGD21, 38693, LOS-DO, 082-0281865-7, 1, 1, No, No, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1765",FALSE
3013275077,Minh Qui Seafood,"8, Industrial Park, Ward",,Ca Mau,Ca Mau,VN,16XGT21,11/8/2005,LOS-DO,082-0281897-0,1,1,,No,No,9,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",1766,"3013275077, Minh Qui Seafood, 8, Industrial Park, Ward, Ca Mau, Ca Mau, VN, 16XGT21, 38664, LOS-DO, 082-0281897-0, 1, 1, No, No, 9, SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS, 1766",FALSE
